,weekday,month,bus_route_id,violation_type,violations
182,Friday,2022-05,B44+,MOBILE BUS LANE,4
183,Friday,2022-05,B46+,MOBILE BUS LANE,21
184,Friday,2022-05,M14+,MOBILE BUS LANE,4
185,Friday,2022-05,M15+,MOBILE BUS LANE,31
186,Friday,2022-06,B44+,MOBILE BUS LANE,112
187,Friday,2022-06,B46+,MOBILE BUS LANE,509
188,Friday,2022-06,M14+,MOBILE BUS LANE,133
189,Friday,2022-06,M15+,MOBILE BUS LANE,1187
190,Friday,2022-06,M23+,MOBILE BUS LANE,10
191,Friday,2022-06,M34+,MOBILE BUS LANE,22
192,Friday,2022-06,M86+,MOBILE BUS LANE,1
193,Friday,2022-07,B44+,MOBILE BUS LANE,174
194,Friday,2022-07,B46+,MOBILE BUS LANE,387
195,Friday,2022-07,M14+,MOBILE BUS LANE,181
196,Friday,2022-07,M15+,MOBILE BUS LANE,1385
197,Friday,2022-07,M23+,MOBILE BUS LANE,10
198,Friday,2022-07,M34+,MOBILE BUS LANE,34
199,Friday,2022-07,M86+,MOBILE BUS LANE,3
200,Friday,2022-08,B44+,MOBILE BUS LANE,67
201,Friday,2022-08,B46+,MOBILE BUS LANE,99
202,Friday,2022-08,M14+,MOBILE BUS LANE,78
203,Friday,2022-08,M15+,MOBILE BUS LANE,521
204,Friday,2022-08,M23+,MOBILE BUS LANE,3
205,Friday,2022-08,M34+,MOBILE BUS LANE,8
206,Friday,2022-08,M86+,MOBILE BUS LANE,1
207,Friday,2022-08,Q44+,MOBILE BUS LANE,10
208,Friday,2022-09,B44+,MOBILE BUS LANE,106
209,Friday,2022-09,B46+,MOBILE BUS LANE,270
210,Friday,2022-09,M14+,MOBILE BUS LANE,68
211,Friday,2022-09,M15+,MOBILE BUS LANE,761
212,Friday,2022-09,M23+,MOBILE BUS LANE,13
213,Friday,2022-09,M34+,MOBILE BUS LANE,11
214,Friday,2022-09,Q44+,MOBILE BUS LANE,87
215,Friday,2022-10,B44+,MOBILE BUS LANE,134
216,Friday,2022-10,B46+,MOBILE BUS LANE,222
217,Friday,2022-10,M14+,MOBILE BUS LANE,102
218,Friday,2022-10,M15+,MOBILE BUS LANE,655
219,Friday,2022-10,M23+,MOBILE BUS LANE,18
220,Friday,2022-10,M34+,MOBILE BUS LANE,10
221,Friday,2022-10,Q44+,MOBILE BUS LANE,467
222,Friday,2022-11,B44+,MOBILE BUS LANE,124
223,Friday,2022-11,B46+,MOBILE BUS LANE,337
224,Friday,2022-11,BX12+,MOBILE BUS LANE,211
225,Friday,2022-11,BX41+,MOBILE BUS LANE,150
226,Friday,2022-11,M14+,MOBILE BUS LANE,108
227,Friday,2022-11,M15+,MOBILE BUS LANE,840
228,Friday,2022-11,M23+,MOBILE BUS LANE,45
229,Friday,2022-11,M34+,MOBILE BUS LANE,14
230,Friday,2022-11,Q44+,MOBILE BUS LANE,494
231,Friday,2022-11,S79+,MOBILE BUS LANE,44
232,Friday,2022-12,B25,MOBILE BUS LANE,187
233,Friday,2022-12,B42,MOBILE BUS LANE,75
234,Friday,2022-12,B44+,MOBILE BUS LANE,188
235,Friday,2022-12,B46+,MOBILE BUS LANE,407
236,Friday,2022-12,B62,MOBILE BUS LANE,8
237,Friday,2022-12,BX12+,MOBILE BUS LANE,1059
238,Friday,2022-12,BX19,MOBILE BUS LANE,294
239,Friday,2022-12,BX41+,MOBILE BUS LANE,798
240,Friday,2022-12,M14+,MOBILE BUS LANE,197
241,Friday,2022-12,M15+,MOBILE BUS LANE,1129
242,Friday,2022-12,M23+,MOBILE BUS LANE,17
243,Friday,2022-12,M34+,MOBILE BUS LANE,19
244,Friday,2022-12,Q43,MOBILE BUS LANE,219
245,Friday,2022-12,Q44+,MOBILE BUS LANE,492
246,Friday,2022-12,S79+,MOBILE BUS LANE,25
247,Friday,2023-01,B25,MOBILE BUS LANE,169
248,Friday,2023-01,B42,MOBILE BUS LANE,63
249,Friday,2023-01,B44+,MOBILE BUS LANE,127
250,Friday,2023-01,B46+,MOBILE BUS LANE,385
251,Friday,2023-01,B62,MOBILE BUS LANE,9
252,Friday,2023-01,BX12+,MOBILE BUS LANE,1152
253,Friday,2023-01,BX19,MOBILE BUS LANE,466
254,Friday,2023-01,BX41+,MOBILE BUS LANE,1415
255,Friday,2023-01,M14+,MOBILE BUS LANE,127
256,Friday,2023-01,M15+,MOBILE BUS LANE,1168
257,Friday,2023-01,M23+,MOBILE BUS LANE,17
258,Friday,2023-01,M34+,MOBILE BUS LANE,24
259,Friday,2023-01,M86+,MOBILE BUS LANE,1
260,Friday,2023-01,Q43,MOBILE BUS LANE,143
261,Friday,2023-01,Q44+,MOBILE BUS LANE,319
262,Friday,2023-01,S79+,MOBILE BUS LANE,21
263,Friday,2023-02,B25,MOBILE BUS LANE,84
264,Friday,2023-02,B42,MOBILE BUS LANE,35
265,Friday,2023-02,B44+,MOBILE BUS LANE,117
266,Friday,2023-02,B46+,MOBILE BUS LANE,362
267,Friday,2023-02,B62,MOBILE BUS LANE,12
268,Friday,2023-02,BX12+,MOBILE BUS LANE,1130
269,Friday,2023-02,BX19,MOBILE BUS LANE,289
270,Friday,2023-02,BX41+,MOBILE BUS LANE,1305
271,Friday,2023-02,M14+,MOBILE BUS LANE,140
272,Friday,2023-02,M15+,MOBILE BUS LANE,860
273,Friday,2023-02,M23+,MOBILE BUS LANE,28
274,Friday,2023-02,M34+,MOBILE BUS LANE,11
275,Friday,2023-02,M86+,MOBILE BUS LANE,1
276,Friday,2023-02,Q43,MOBILE BUS LANE,117
277,Friday,2023-02,Q44+,MOBILE BUS LANE,303
278,Friday,2023-02,S79+,MOBILE BUS LANE,16
279,Friday,2023-03,B25,MOBILE BUS LANE,48
280,Friday,2023-03,B42,MOBILE BUS LANE,52
281,Friday,2023-03,B44+,MOBILE BUS LANE,146
282,Friday,2023-03,B46+,MOBILE BUS LANE,515
283,Friday,2023-03,B62,MOBILE BUS LANE,14
284,Friday,2023-03,BX12+,MOBILE BUS LANE,1519
285,Friday,2023-03,BX19,MOBILE BUS LANE,271
286,Friday,2023-03,BX41+,MOBILE BUS LANE,1671
287,Friday,2023-03,M14+,MOBILE BUS LANE,191
288,Friday,2023-03,M15+,MOBILE BUS LANE,1055
289,Friday,2023-03,M23+,MOBILE BUS LANE,12
290,Friday,2023-03,M34+,MOBILE BUS LANE,30
291,Friday,2023-03,M86+,MOBILE BUS LANE,2
292,Friday,2023-03,Q43,MOBILE BUS LANE,97
293,Friday,2023-03,Q44+,MOBILE BUS LANE,364
294,Friday,2023-03,S79+,MOBILE BUS LANE,19
295,Friday,2023-04,B25,MOBILE BUS LANE,44
296,Friday,2023-04,B42,MOBILE BUS LANE,20
