,bus_route_id,month,weekday,violation_type,violations
162,B25,2024-10,Saturday,MOBILE BUS LANE,14
163,B25,2024-10,Saturday,MOBILE BUS STOP,345
164,B25,2024-10,Saturday,MOBILE DOUBLE PARKED,72
165,B25,2024-10,Sunday,MOBILE BUS LANE,4
166,B25,2024-10,Sunday,MOBILE BUS STOP,207
167,B25,2024-10,Sunday,MOBILE DOUBLE PARKED,50
168,B25,2024-10,Thursday,MOBILE BUS LANE,224
169,B25,2024-10,Thursday,MOBILE BUS STOP,317
170,B25,2024-10,Thursday,MOBILE DOUBLE PARKED,88
171,B25,2024-10,Tuesday,MOBILE BUS LANE,240
172,B25,2024-10,Tuesday,MOBILE BUS STOP,273
173,B25,2024-10,Tuesday,MOBILE DOUBLE PARKED,110
174,B25,2024-10,Wednesday,MOBILE BUS LANE,350
175,B25,2024-10,Wednesday,MOBILE BUS STOP,379
176,B25,2024-10,Wednesday,MOBILE DOUBLE PARKED,125
177,B25,2024-11,Friday,MOBILE BUS LANE,322
178,B25,2024-11,Friday,MOBILE BUS STOP,360
179,B25,2024-11,Friday,MOBILE DOUBLE PARKED,140
180,B25,2024-11,Monday,MOBILE BUS LANE,218
181,B25,2024-11,Monday,MOBILE BUS STOP,218
182,B25,2024-11,Monday,MOBILE DOUBLE PARKED,83
183,B25,2024-11,Saturday,MOBILE BUS LANE,10
184,B25,2024-11,Saturday,MOBILE BUS STOP,357
185,B25,2024-11,Saturday,MOBILE DOUBLE PARKED,66
186,B25,2024-11,Sunday,MOBILE BUS LANE,1
187,B25,2024-11,Sunday,MOBILE BUS STOP,241
188,B25,2024-11,Sunday,MOBILE DOUBLE PARKED,40
189,B25,2024-11,Thursday,MOBILE BUS LANE,167
190,B25,2024-11,Thursday,MOBILE BUS STOP,248
191,B25,2024-11,Thursday,MOBILE DOUBLE PARKED,77
192,B25,2024-11,Tuesday,MOBILE BUS LANE,199
193,B25,2024-11,Tuesday,MOBILE BUS STOP,249
194,B25,2024-11,Tuesday,MOBILE DOUBLE PARKED,95
195,B25,2024-11,Wednesday,MOBILE BUS LANE,181
196,B25,2024-11,Wednesday,MOBILE BUS STOP,261
197,B25,2024-11,Wednesday,MOBILE DOUBLE PARKED,76
198,B25,2024-12,Friday,MOBILE BUS LANE,233
199,B25,2024-12,Friday,MOBILE BUS STOP,192
200,B25,2024-12,Friday,MOBILE DOUBLE PARKED,60
201,B25,2024-12,Monday,MOBILE BUS LANE,223
202,B25,2024-12,Monday,MOBILE BUS STOP,234
203,B25,2024-12,Monday,MOBILE DOUBLE PARKED,66
204,B25,2024-12,Saturday,MOBILE BUS LANE,8
205,B25,2024-12,Saturday,MOBILE BUS STOP,270
206,B25,2024-12,Saturday,MOBILE DOUBLE PARKED,50
207,B25,2024-12,Sunday,MOBILE BUS LANE,6
208,B25,2024-12,Sunday,MOBILE BUS STOP,319
209,B25,2024-12,Sunday,MOBILE DOUBLE PARKED,80
210,B25,2024-12,Thursday,MOBILE BUS LANE,186
211,B25,2024-12,Thursday,MOBILE BUS STOP,230
212,B25,2024-12,Thursday,MOBILE DOUBLE PARKED,72
213,B25,2024-12,Tuesday,MOBILE BUS LANE,220
214,B25,2024-12,Tuesday,MOBILE BUS STOP,258
215,B25,2024-12,Tuesday,MOBILE DOUBLE PARKED,90
216,B25,2024-12,Wednesday,MOBILE BUS LANE,158
217,B25,2024-12,Wednesday,MOBILE BUS STOP,199
218,B25,2024-12,Wednesday,MOBILE DOUBLE PARKED,78
219,B25,2025-01,Friday,MOBILE BUS LANE,283
220,B25,2025-01,Friday,MOBILE BUS STOP,227
221,B25,2025-01,Friday,MOBILE DOUBLE PARKED,86
222,B25,2025-01,Monday,MOBILE BUS LANE,223
223,B25,2025-01,Monday,MOBILE BUS STOP,185
224,B25,2025-01,Monday,MOBILE DOUBLE PARKED,89
225,B25,2025-01,Saturday,MOBILE BUS LANE,11
226,B25,2025-01,Saturday,MOBILE BUS STOP,261
227,B25,2025-01,Saturday,MOBILE DOUBLE PARKED,29
228,B25,2025-01,Sunday,MOBILE BUS LANE,5
229,B25,2025-01,Sunday,MOBILE BUS STOP,211
230,B25,2025-01,Sunday,MOBILE DOUBLE PARKED,51
231,B25,2025-01,Thursday,MOBILE BUS LANE,266
232,B25,2025-01,Thursday,MOBILE BUS STOP,195
233,B25,2025-01,Thursday,MOBILE DOUBLE PARKED,101
234,B25,2025-01,Tuesday,MOBILE BUS LANE,200
235,B25,2025-01,Tuesday,MOBILE BUS STOP,218
236,B25,2025-01,Tuesday,MOBILE DOUBLE PARKED,97
237,B25,2025-01,Wednesday,MOBILE BUS LANE,192
238,B25,2025-01,Wednesday,MOBILE BUS STOP,255
239,B25,2025-01,Wednesday,MOBILE DOUBLE PARKED,86
240,B25,2025-02,Friday,MOBILE BUS LANE,186
