,stop_name,violations,avg_lat,avg_lon
153,HUNTS POINT AV/COSTER ST,6046,40.81522632963943,-73.88438769864374
154,ROGERS AV/AVENUE D,6029,40.64718060341682,-73.95201845944601
155,SUTPHIN BLVD/JAMAICA AV,6020,40.70388735448505,-73.80858266976745
156,ARCHER AV/MERRICK BL,6008,40.70616253561917,-73.79312770006658
157,W 155 ST/AMSTERDAM AV,5990,40.83198065358931,-73.94297106777964
158,E 125 ST/LEXINGTON AV,5980,40.80132677107024,-73.93892080418061
159,WESTCHESTER AV/VIRGINIA AV,5932,40.8310496397505,-73.85851708951449
160,UNIVERSITY AV/W 174 ST,5905,40.84785015834039,-73.91860252023709
161,E 169 ST/BOSTON RD,5902,40.831002935276175,-73.90090305472721
162,ARCHER AV/SUTPHIN BLVD,5892,40.70177720858792,-73.80501446045486
163,W 79 ST/BROADWAY,5860,40.78717724820819,-73.97971480969795
164,3 AV/E 37 ST,5837,40.777780805036834,-73.95477849408944
165,SOUTHERN BLVD/E 180 ST,5784,40.84400757053942,-73.8856614142462
166,W 125 ST/5 AV,5709,40.80633979698722,-73.94366212751795
167,E 79 ST/2 AV,5706,40.77350131165966,-73.95545898311427
168,E FORDHAM RD/WALTON AV,5672,40.86230846491537,-73.89796402767983
169,3 AV/E 99 ST,5662,40.78856093111975,-73.94696261480043
170,EAST TREMONT AV/ARTHUR AV,5648,40.84612473317989,-73.89452067422097
171,CHURCH AV/UTICA AV,5634,40.65184497195598,-73.93107561040114
172,E 167 ST/MORRIS AV,5627,40.83220586742492,-73.91339878638706
173,FLATLANDS AV/REMSEN AV,5600,40.6395042725,-73.90741303071428
174,AMSTERDAM AV/W 165 ST,5599,40.80844547990713,-73.94975239328451
175,E 149 ST/BROOK AV,5577,40.815955607674375,-73.91706018522503
176,EAST FORDHAM RD/WALTON AV,5537,40.862317413220154,-73.8978349712841
177,JAMAICA AV/165 ST,5531,40.705206666968,-73.7958158327608
178,FLATBUSH AV/CHURCH AV,5472,40.647012239035085,-73.95727943055556
179,CHURCH AV/NEW YORK AV,5456,40.65098330333578,-73.94617862774926
180,2 AV/E 57 ST,5430,40.75707689390913,-73.96691754461472
181,3 AV/E 86 ST,5428,40.78067692538688,-73.95271613890937
182,EDWARD L GRANT HWY/W 169 ST,5421,40.835054595831025,-73.92033427282789
183,W 34 ST/7 AV,5411,40.75091318213977,-73.99058967220458
184,MERRICK BLVD/ARCHER AV,5375,40.70432745134884,-73.79728688372093
185,E 149 ST/MELROSE AV,5371,40.816437953453736,-73.91854252150438
186,3 AV/E 116 ST,5356,40.799736848207615,-73.93911398469007
187,NOSTRAND AV/AV L,5252,40.63026245127444,-73.94742580011868
188,NOSTRAND AV/AVENUE U,5211,40.60202184187296,-73.94207638553061
189,E 168 ST/PARK AV,5200,40.83142689076924,-73.9082306251923
190,BAYCHESTER AV/ALDRICH ST,5157,40.87220582257126,-73.83403385476052
191,SOUTHERN BLVD/EAST TREMONT AV,5102,40.84059462269698,-73.88738804566837
192,EAST TREMONT AV/E 177 ST,5093,40.839275733359514,-73.87458869919497
193,E 163 ST/INTERVALE AV,5091,40.82128019013946,-73.8973334146533
194,EAST TREMONT AV/ANTHONY AV,5086,40.84858595123869,-73.90372457569799
195,WEBSTER AV/FORDHAM RD,5002,40.86514694602159,-73.8868379560176
196,BAINBRIDGE AV/VAN CORTLANDT AV EAST,4958,40.87554601795079,-73.87816649596611
197,FLATLANDS AV/E 82 ST,4934,40.63527030097284,-73.9137711978111
198,LAFAYETTE AV/WHITE PLAINS RD,4930,40.82217443941377,-73.85627174871688
199,JAMAICA AV/150 ST,4903,40.70235973567204,-73.80494603752804
200,NOSTRAND AV / KINGS HWY,4860,40.615836188338825,-73.94592915846913
201,EAST TREMONT AV/MORRIS PARK AV,4834,40.83986314377327,-73.87560835581299
202,DREISER LOOP/CO-OP CITY BLVD,4794,40.87703864685023,-73.83058390279517
203,3 AV/E 33 ST,4769,40.757465220801,-73.96940355231705
204,CHURCH AV/BEDFORD AV,4729,40.65045794438571,-73.95710556967647
205,LEXINGTON AV/E 124 ST,4725,40.79871000232804,-73.94136959703704
206,UTICA AV/AVENUE K,4724,40.63156274132091,-73.92825263018628
207,UNIVERSITY AV/W TREMONT AV,4697,40.84976663380881,-73.91660322482436
208,WEBSTER AV/EAST GUN HILL RD,4687,40.87433146788991,-73.87374170428846
209,AMSTERDAM AV/W 178 ST,4686,40.841575177763545,-73.93479445561246
210,LEXINGTON AV/E 116 ST,4686,40.79499430537772,-73.94414566730687
211,E 14 ST/3 AV,4676,40.73308896467636,-73.98658107895352
212,KINGS HWY/McDONALD AV,4671,40.60495145001071,-73.97804875422821
213,CROSS BAY BLVD/157 AV,4667,40.66119146646668,-73.8404468414399
214,QUEENS BLVD/MAIN ST,4656,40.70613721821306,-73.81401847401203
215,E 86 ST/3 AV,4651,40.77865572726296,-73.95368172167275
216,UTICA AV/AVENUE N,4640,40.622764531681035,-73.92736412693965
217,KINGS HWY/MCDONALD AV,4638,40.605544274902975,-73.96742857352307
218,BAYCHESTER AV/DONIZETTI PL,4636,40.876136159836065,-73.83430495017257
219,CHURCH AV/E 18 ST,4617,40.64935068161144,-73.96313799068659
220,AMSTERDAM AV/W 131 ST,4616,40.81266845277297,-73.95501346122184
221,WHITE PLAINS RD/EAST TREMONT AV,4607,40.83906358280877,-73.86523840199696
